,retweets
0,7009
1,5302
2,3481
3,7227
4,7763
5,2602
6,1664
7,15757
8,3622
9,6101
10,6154
11,4167
12,8354
13,3717
14,1882
15,4446
16,3765
17,3537
18,2879
19,7009
20,5302
21,3481
22,7227
23,7763
24,2602
25,1664
26,15757
27,3622
28,6101
29,6154
30,4167
31,8354
32,3717
33,1882
34,4446
35,3765
36,3537
37,2879
38,2894
39,4535
40,9856
41,15031
42,8815
43,4991
44,6321
45,2632
46,3736
47,2631
48,4
49,5291
50,93
51,5616
52,5330
53,3108
54,15442
55,3670
56,15029
57,4674
58,3913
59,4793
60,16927
61,2506
62,2865
63,8274
64,3081
65,5534
66,3248
67,4098
68,5063
69,9634
70,4083
71,2855
72,8961
73,8
74,13404
75,4494
76,2333
77,3200
78,5215
79,3468
80,3653
81,2930
82,9
83,2628
84,37460
85,2650
86,5742
87,3957
88,2244
89,3434
90,5930
91,1078
92,5529
93,1078
94,5742
95,15810
96,70
97,3169
98,4348
99,4630
100,2804
101,3974
102,2001
103,3904
104,3583
105,4158
106,5118
107,3974
108,3919
109,12217
110,3483
111,3378
112,8596
113,3344
114,1331
115,1331
116,4563
117,3167
118,3068
119,7721
120,6831
121,9248
122,2970
123,2941
124,4895
125,4685
126,3226
127,5284
128,3
129,2210
130,22755
131,3550
132,7076
133,8698
134,5387
135,2640
136,3201
137,12267
138,1754
139,4474
140,1754
141,3573
142,6258
143,2118
144,101
145,6790
146,4133
147,2973
148,30216
149,12217
150,7172
151,4852
152,4292
153,6676
154,7499
155,2585
156,7592
157,3594
158,3635
159,2092
160,4558
161,80
162,953
163,2092
164,4461
165,3091
166,4257
167,20016
168,9273
169,3591
170,3340
171,1858
172,679
173,1858
174,4607
175,3075
176,5129
177,26774
178,3586
179,3072
180,1366
181,26292
182,11979
183,7087
184,3029
185,4266
186,2540
187,2268
188,9357
189,1444
190,3984
191,16
192,148
193,3493
194,2551
195,1654
196,15
197,5586
198,21
199,853
200,1862
201,16141
202,4818
203,7313
204,5273
205,36
206,5361
207,6033
208,4157
209,6602
210,2796
211,5118
212,8889
213,3173
214,1790
215,1602
216,1915
217,3124
218,8890
219,6102
220,1420
221,3128
222,6322
223,5177
224,8094
225,2334
226,301
227,3402
228,4381
229,6831
230,4454
231,2836
232,1695
233,7642
234,3932
235,4166
236,646
237,2722
238,2929
239,396
240,4587
241,1193
242,376
243,3096
244,3925
245,5265
246,2881
247,3556
248,10406
249,2766
250,8189
251,9179
252,2595
253,7886
254,4388
255,1622
256,4870
257,6954
258,2318
259,2860
260,2822
261,1994
262,2702
263,4176
264,2485
265,5429
266,3318
267,1177
268,3190
269,5273
270,2764
271,13605
272,7173
273,3338
274,5028
275,4246
276,4895
277,1622
278,14623
279,2
280,892
281,1622
282,4188
283,5233
284,2072
285,7087
286,133
287,5956
288,3668
289,1859
290,31
291,10059
292,1234
293,4354
294,9224
295,304
296,1
297,2850
298,7172
299,409
300,2065
301,2186
302,2121
303,4271
304,2028
305,509
306,25142
307,2749
308,3988
309,3903
310,7435
311,3307
312,1547
313,19210
314,2748
315,1547
316,63
317,5307
318,2765
319,1496
320,5117
321,2323
322,9791
323,1552
324,4340
325,3372
326,1971
327,2045
328,2216
329,3495
330,205
331,3003
332,1895
333,4454
334,2026
335,38
336,3327
337,2670
338,485
339,2569
340,2040
341,2929
342,2149
343,5735
344,8603
345,2
346,8840
347,4308
348,5667
349,34
350,5993
351,1690
352,1790
353,2165
354,1447
355,1040
356,2274
357,1895
358,1379
359,15442
360,5254
361,2705
362,4616
363,1796
364,9791
365,1863
366,6784
367,15135
368,3169
369,5405
370,10347
371,1242
372,1082
373,1189
374,2064
375,995
376,2729
377,165
378,2660
379,1998
380,4840
381,2798
382,865
383,2812
384,2064
385,4616
386,9354
387,3685
388,230
389,2183
390,3895
391,2422
392,856
393,2875
394,1738
395,2338
396,16366
397,4190
398,1168
399,1168
400,5106
401,3278
402,1649
403,9896
404,3571
405,558
406,2541
407,10371
408,2336
409,2447
410,22
411,3720
412,9241
413,3200
414,39935
415,2111
416,5959
417,2736
418,5959
419,13161
420,9241
421,4384
422,2142
423,3127
424,1557
425,1632
426,5130
427,3997
428,9
429,1826
430,1975
431,2127
432,6244
433,9224
434,3004
435,523
436,2396
437,523
438,5796
439,1082
440,1082
441,4550
442,2877
443,1869
444,1116
445,379
446,6244
447,34551
448,17804
449,17804
450,34550
451,19463
452,7063
453,2355
454,5700
455,2273
456,7468
457,2088
458,2370
459,741
460,25142
461,2521
462,2730
463,3146
464,13605
465,890
466,7874
467,1871
468,2415
469,1519
470,4394
471,1897
472,2059
473,7468
474,1804
475,1991
476,944
477,4886
478,944
479,7874
480,3861
481,2122
482,1555
483,3573
484,1187
485,2527
486,5464
487,1742
488,8116
489,2960
490,1735
491,13041
492,1650
493,6853
494,1707
495,4048
496,1809
497,2067
498,2245
499,418
500,2924
501,2572
502,3391
503,2598
504,1830
505,6867
506,1787
507,1353
508,1148
509,1802
510,3427
511,1312
512,1479
513,682
514,2855
515,5987
516,1334
517,1645
518,2471
519,10502
520,3169
521,3685
522,4583
523,1371
524,5254
525,3307
526,2868
527,2034
528,2456
529,19463
530,5525
531,2071
532,3317
533,3392
534,51694
535,6893
536,3637
537,32404
538,5149
539,1825
540,2219
541,10892
542,1134
543,5019
544,1803
545,1717
546,7483
547,1552
548,2382
549,1628
550,3603
551,1892
552,3013
553,15070
554,2591
555,6932
556,3887
557,1770
558,4962
559,2300
560,1875
561,2727
562,1385
563,2359
564,5488
565,1299
566,2460
567,251
568,1598
569,219
570,1954
571,773
572,5525
573,3701
574,1985
575,91
576,1520
577,2638
578,2834
579,2063
580,4028
581,2638
582,3698
583,2396
584,12332
585,4375
586,2004
587,1801
588,5093
589,2569
590,2342
591,4162
592,1362
593,6223
594,7255
595,6103
596,4645
597,2181
598,4436
599,5228
600,3679
601,1746
602,1867
603,5278
604,5490
605,3143
606,2425
607,2893
608,4621
609,6167
610,24
611,8360
612,1830
613,2837
614,6752
615,1654
616,3893
617,13388
618,13388
619,1686
620,2254
621,2170
622,3503
623,21992
624,2687
625,5106
626,3161
627,2162
628,9672
629,2540
630,3117
631,4583
632,1750
633,2931
634,1519
635,2237
636,8603
637,2249
638,7812
639,3080
640,2719
641,2613
642,5282
643,1867
644,2630
645,1597
646,2362
647,3692
648,3719
649,4007
650,1573
651,4018
652,1673
653,19730
654,8913
655,3562
656,20787
657,2931
658,3861
659,2368
660,3820
661,1992
662,4394
663,2147
664,1808
665,6654
666,1770
667,2960
668,3315
669,2147
670,3841
671,3889
672,1651
673,1797
674,3161
675,2140
676,4594
677,2450
678,2609
679,11720
680,9672
681,6671
682,4932
683,1981
684,1202
685,3217
686,1231
687,2842
688,2588
689,2670
690,1628
691,6302
692,7435
693,2276
694,5735
695,2366
696,2921
697,3222
698,2650
699,4384
700,148
701,6506
702,2992
703,1674
704,2106
705,1843
706,1166
707,1520
708,4503
709,3013
710,2368
711,1184
712,7483
713,10371
714,10059
715,1830
716,2992
717,2076
718,5097
719,5149
720,10892
721,2021
722,6893
723,1319
724,5019
725,1767
726,5130
727,5742
728,3139
729,2529
730,1053
731,5149
732,2385
733,1930
734,2585
735,6752
736,1868
737,1201
738,3127
739,1628
740,3427
741,103
742,1004
743,2089
744,2138
745,4572
746,6506
747,2890
748,17037
749,4212
750,6662
751,9163
752,338
753,1208
754,1392
755,943
756,4010
757,11347
758,1019
759,3064
760,2467
761,1494
762,3272
763,1517
764,2727
765,3923
766,2343
767,3987
768,12614
769,1114
770,2562
771,8467
772,14743
773,2336
